symbol,yf_ticker,company_name,industry,source,snapshot_date,active_for_v1,series,isin_code
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE118A01012
BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE028A01039
BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE263A01024
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE029A01011
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE397D01024
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE323A01026
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE216A01030
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE067A01029
CANBK,CANBK.NS,Canara Bank,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE476A01022
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE121A01024
CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE059A01026
COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE522F01014
