random_forest_weight,weighted_mlp_weight,ft_transformer_weight,tabnet_v1_weight,rows,positive_rate_actual,positive_rate_predicted,average_probability,roc_auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,precision,recall,f1,threshold
0.3,0.0,0.2,0.5,19980,0.10490490490490491,0.512962962962963,0.5014585560592408,0.6666657774188536,0.22154293087617946,0.7030663645927484,0.2544364953082014,0.5310810810810811,0.61002222123575,0.14518489608742316,0.7099236641221374,0.24106925880923452,0.5
0.3,0.1,0.1,0.5,19980,0.10490490490490491,0.534084084084084,0.5025505054008106,0.6665402600900459,0.22501855889072203,0.7022669008529745,0.2543095473640728,0.5127627627627628,0.6056861777596418,0.14206728516540157,0.7232824427480916,0.23748727187279706,0.5
0.5,0.0,0.0,0.5,19980,0.10490490490490491,0.4978978978978979,0.49269399517879564,0.6663619214411449,0.21551193043882683,0.6829499526299887,0.24512816897768236,0.5437437437437438,0.6120413828899045,0.1471652593486128,0.6984732824427481,0.2431086017934241,0.5
0.8,0.1,0.0,0.1,19980,0.10490490490490491,0.330980980980981,0.45209055847781277,0.6663461017225513,0.21755429901377682,0.617786520545885,0.21349982874637788,0.6831331331331332,0.6319915686502158,0.1797973688189929,0.5672709923664122,0.27305086691927893,0.5
0.3,0.2,0.1,0.4,19980,0.10490490490490491,0.5093593593593594,0.4965053185619092,0.6662732456492306,0.22789037484480598,0.6912367062599777,0.24904153799520512,0.5328828828828829,0.607238057473011,0.14444335265795422,0.7013358778625954,0.23955023221706184,0.5
0.8,0.0,0.2,0.0,19980,0.10490490490490491,0.3160660660660661,0.4438614729557718,0.6660092991133701,0.22267761818210988,0.6072942385455091,0.20877269671863255,0.6929429429429429,0.6267311520724739,0.18020585906571654,0.5429389312977099,0.2705980263940079,0.5
0.5,0.2,0.0,0.3,19980,0.10490490490490491,0.447997997997998,0.4806036215009928,0.6657461795779758,0.22162189933014242,0.6625293189368081,0.2352348985900283,0.584934934934935,0.6167293017256245,0.15383756004915652,0.6569656488549618,0.24929845206843487,0.5
0.6,0.2,0.0,0.2,19980,0.10490490490490491,0.4015015015015015,0.4690842048802989,0.6656978400668601,0.22090107355984154,0.6439212831345661,0.22620165488591595,0.6249249249249249,0.6253792464072966,0.16355023684866618,0.6259541984732825,0.2593397904724254,0.5
0.8,0.1,0.1,0.0,19980,0.10490490490490491,0.3117117117117117,0.4449534222973416,0.665565733411758,0.22385004695695288,0.6079760224037379,0.20889453880900746,0.6967967967967968,0.62783095598266,0.1819203596660244,0.5405534351145038,0.27222489187890436,0.5
0.4,0.2,0.2,0.2,19980,0.10490490490490491,0.4331331331331331,0.47784876576074414,0.6654773243941874,0.22831121909018798,0.6608924135010145,0.23441646163810748,0.5960960960960962,0.6151720331705085,0.15484169170325862,0.6393129770992366,0.24930232558139534,0.5
0.3,0.2,0.2,0.3,19980,0.10490490490490491,0.476026026026026,0.489368182381438,0.6652173794734856,0.22984741517799853,0.6810661226940028,0.24404352768368526,0.561011011011011,0.6119996593825177,0.14909052675849016,0.6765267175572519,0.24433531489618335,0.5
0.5,0.0,0.3,0.2,19980,0.10490490490490491,0.42017017017017017,0.47128258663738193,0.6647617555715288,0.2223331267137651,0.6527335998414826,0.23058513585701174,0.6084584584584585,0.6208140971246421,0.1589041095890411,0.6364503816793893,0.2543132208559718,0.5
0.4,0.0,0.3,0.3,19980,0.10490490490490491,0.4522022022022022,0.4828020032580758,0.6644789747669886,0.22091961994790427,0.6727566986026261,0.2400148067456582,0.5822322322322322,0.6183784473647818,0.15406751521859435,0.6641221374045801,0.2501122989848172,0.5
